epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.6329,1.83594,3.14367,1.47094,1.57005,0.48891,0.46049,0.47542,0.21692,0.44347,0.33146,0.2948,0.11274,1.91365,5.09861,2.3075,1.61509,0.000658333,0.000658333,0.000658333
2,154.647,1.5942,2.72427,1.15142,1.39621,0.61046,0.46928,0.55279,0.2253,0.47125,0.35547,0.29545,0.10802,2.03927,4.70207,2.05237,1.6859,0.00132063,0.00132063,0.00132063
3,227.066,1.52327,2.54571,1.10797,1.34835,0.63205,0.57118,0.62401,0.32658,0.57345,0.47793,0.46935,0.22392,1.6416,3.16854,2.47534,1.49451,0.00197852,0.00197852,0.00197852
4,298.421,1.48569,2.4739,1.06289,1.31572,0.62465,0.63522,0.63301,0.33445,0.49756,0.44505,0.35625,0.18323,1.68488,3.35453,1.99842,1.49284,0.0019802,0.0019802,0.0019802
5,369.227,1.41912,2.29424,1.0219,1.28158,0.67913,0.70857,0.72391,0.3941,0.61439,0.55223,0.51646,0.29438,1.53128,2.71844,1.53692,1.38665,0.0019736,0.0019736,0.0019736
6,440.78,1.37469,2.21879,0.97494,1.24464,0.75151,0.74331,0.80388,0.48659,0.74952,0.55517,0.6155,0.35815,1.41808,2.47407,1.12892,1.28957,0.001967,0.001967,0.001967
7,512.549,1.35267,2.16775,0.95498,1.24579,0.79603,0.72912,0.83333,0.49841,0.81382,0.61532,0.6778,0.39519,1.43153,2.496,1.1912,1.28753,0.0019604,0.0019604,0.0019604
8,583.207,1.28793,2.01544,0.90199,1.20662,0.76787,0.75005,0.82894,0.50035,0.7612,0.59724,0.67773,0.37565,1.41831,2.22213,1.02403,1.3024,0.0019538,0.0019538,0.0019538
9,654.075,1.28082,1.98077,0.90457,1.19594,0.81652,0.7566,0.82524,0.48523,0.80787,0.55311,0.64514,0.39423,1.49632,2.29209,1.13105,1.29321,0.0019472,0.0019472,0.0019472
10,725.789,1.25726,1.99169,0.88383,1.18632,0.81798,0.81545,0.86307,0.55245,0.81174,0.68007,0.73977,0.44403,1.27104,2.07429,0.89821,1.22966,0.0019406,0.0019406,0.0019406
11,796.949,1.20609,1.82769,0.84809,1.15928,0.83999,0.78597,0.87085,0.55555,0.73349,0.65499,0.69155,0.42642,1.31535,1.98981,1.09294,1.27417,0.001934,0.001934,0.001934
12,867.905,1.1721,1.74124,0.80838,1.13859,0.83995,0.79792,0.87529,0.5413,0.77996,0.67698,0.72042,0.44068,1.36957,2.02816,0.95122,1.23701,0.0019274,0.0019274,0.0019274
